Type,Name,Category,Location,Price_Range_INR,Entry_Fee_INR,Best_Time_Duration,Operating_Hours,Specialty_Description,Rating,Contact,Payment_Methods
Restaurant,Pai Brothers,Kerala Cuisine,Ernakulam,120-350,N/A,Daily,6AM-10PM,Authentic Kerala meals fish curry,4.1,0484-235-4848,Cash UPI
Hotel,Vivanta Kochi,Luxury,Malabar Hill,15000-30000,N/A,Daily,24 hours check-in,Luxury resort spa fine dining,4.6,0484-661-4000,Card Cash UPI
Hotel,Grand Hyatt Kochi,Luxury,Bolgatty Island,18000-35000,N/A,Daily,24 hours check-in,Island resort backwater views luxury amenities,4.7,0484-661-1234,Card Cash UPI
Hotel,The Gateway Hotel,Business,Marine Drive,8000-16000,N/A,Daily,24 hours check-in,Waterfront location business facilities,4.4,0484-661-8888,Card Cash UPI
Hotel,Brunton Boatyard,Heritage Luxury,Fort Kochi,12000-25000,N/A,Daily,24 hours check-in,Heritage hotel waterfront colonial architecture,4.5,0484-301-5000,Card Cash UPI
Hotel,Old Harbour Hotel,Heritage,Fort Kochi,8000-18000,N/A,Daily,24 hours check-in,Restored Dutch heritage building,4.3,0484-301-8040,Card Cash UPI
Hotel,Radisson Blu Kochi,Business,Elamkulam,7000-14000,N/A,Daily,24 hours check-in,Modern business hotel,4.2,0484-711-4444,Card Cash UPI
Hotel,Hotel Presidency,Mid-range,Ernakulam,3500-7000,N/A,Daily,24 hours check-in,Central location business facilities,4.1,0484-235-2255,Card Cash UPI
Hotel,Avenue Regent,Mid-range,MG Road,3000-6000,N/A,Daily,24 hours check-in,Shopping area proximity comfortable rooms,4.0,0484-238-1122,Card Cash UPI
Hotel,Hotel Seagull,Budget,Fort Kochi,2000-4000,N/A,Daily,24 hours check-in,Heritage area budget accommodation,3.9,0484-221-6128,Cash Card UPI
Hotel,Kochi Backpackers,Hostel,Fort Kochi,800-1800,N/A,Daily,24 hours check-in,Heritage area social atmosphere,4.1,9947-123456,Card Cash UPI
Hotel,Zostel Kochi,Hostel,Fort Kochi,900-2000,N/A,Daily,24 hours check-in,Modern hostel facilities common areas,4.2,0484-405-6789,Card Cash UPI
Hotel,Fort Queen,Budget,Fort Kochi,1800-3500,N/A,Daily,24 hours check-in,Heritage location basic amenities,3.8,0484-221-7524,Cash UPI
Hotel,Houseboat Stay,Unique Stay,Alleppey,3000-15000,N/A,Daily,24 hours check-in,Traditional houseboat backwater experience,4.4,Multiple operators,Cash Card UPI
Hotel,Spice Routes Heritage,Boutique,Kumily,5000-12000,N/A,Daily,24 hours check-in,Spice plantation stay authentic experience,4.3,0484-922-3344,Card Cash UPI
